               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 139,            0.026856,            0.025159,            0.011475,             0.89761,             0.76026,             0.92777,             0.73001,             0.02199,            0.016724,           0.0040962,           0.0098634,           0.0098634,           0.0098634
                 140,            0.028291,            0.027497,            0.011264,             0.90041,             0.76346,             0.93757,             0.73286,            0.021938,            0.016941,           0.0040096,           0.0098624,           0.0098624,           0.0098624
                 141,            0.029511,            0.028442,            0.010983,             0.88387,             0.79177,             0.93674,             0.72553,            0.022714,            0.017174,           0.0040631,           0.0098614,           0.0098614,           0.0098614
                 142,            0.029545,            0.026658,            0.010928,             0.84548,             0.80067,             0.93497,              0.7353,            0.021935,            0.017262,           0.0041728,           0.0098604,           0.0098604,           0.0098604
                 143,            0.027576,            0.027663,            0.011098,             0.83991,             0.80249,             0.93242,             0.73895,            0.021319,            0.016773,           0.0040562,           0.0098594,           0.0098594,           0.0098594
                 144,            0.029835,            0.028831,            0.010294,             0.86563,             0.78354,             0.92901,              0.7204,             0.02238,            0.016729,           0.0038886,           0.0098584,           0.0098584,           0.0098584
                 145,            0.028708,            0.028699,            0.010339,             0.90131,             0.76401,             0.94425,             0.74843,            0.021532,            0.016443,           0.0039046,           0.0098575,           0.0098575,           0.0098575
                 146,            0.029155,            0.027454,           0.0096428,             0.90614,             0.75559,             0.94363,             0.74251,            0.021241,            0.016491,           0.0039379,           0.0098565,           0.0098565,           0.0098565
                 147,            0.028975,            0.027697,            0.010679,             0.89386,             0.75792,             0.94031,             0.73762,            0.021558,             0.01645,           0.0038237,           0.0098555,           0.0098555,           0.0098555
                 148,            0.028707,            0.026129,            0.010598,             0.86045,             0.78829,             0.94456,             0.74619,            0.022269,            0.016794,           0.0038159,           0.0098545,           0.0098545,           0.0098545
                 149,            0.028356,            0.026265,            0.010925,             0.88526,             0.79583,             0.93699,             0.74352,            0.020636,            0.016483,           0.0038187,           0.0098535,           0.0098535,           0.0098535
                 150,            0.028838,            0.028438,            0.010108,              0.8285,             0.82669,             0.94174,              0.7424,            0.020666,            0.016581,            0.003692,           0.0098525,           0.0098525,           0.0098525
                 151,            0.028844,            0.026933,            0.010132,             0.88062,             0.78591,             0.94613,             0.73458,            0.022117,            0.016911,           0.0037099,           0.0098515,           0.0098515,           0.0098515
                 152,            0.028105,            0.027795,            0.010124,             0.89322,             0.79306,             0.95934,             0.75823,            0.021491,            0.016918,           0.0036984,           0.0098505,           0.0098505,           0.0098505
